"ID" "Faltas" "Dever" "Gosta_escola" "Notas" "Alcool_vida" "Inalantes_vida" "Sexo" "Idade" "Ano_escolar" "Autoeficacia" "Intromissao" "Antisocial" "Futuro2"
"36" 36 "3 a 5 dias" "Raramente" "Gosto pouco" "Médias" "Sim" "Sim" 1 13 6 2.65 1.74 1.36 "EU IMAGINO QUE "
"37" 37 "Nenhum dia" "Várias vezes" "Adoro" "Médias" "Não" "Sim" 2 12 7 2.65 4.93 4.35 "UM PROFESSOR BE"
"39" 39 "Nenhum dia" "Raramente" "Gosto pouco" "Médias" "Não" "Sim" 2 14 8 2.68 2.54 1.21 "EU VOC\XEA DOIS"
"40" 40 "1 ou 2 dias" "Raramente" "Gosto pouco" "Médias" "Não" "Sim" 1 13 8 2.69 2.06 2.11 "COM UMA FAM\XED"
"42" 42 "Nenhum dia" "Várias vezes" "Adoro" "Médias" "Não" "Sim" 2 14 6 2.69 3.02 1.7 "TER UMA VIDA BO"
"43" 43 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Não" 2 13 8 2.7 2.46 2.04 "QUE EU TENHA UM"
"44" 44 "3 a 5 dias" "Raramente" "Gosto pouco" "Médias" "Não" "Sim" 1 13 9 2.7 4.98 2.15 "EU IMAGINO MINH"
"45" 45 "Nenhum dia" "Várias vezes" "Detesto" "Médias" "Não" "Não" 1 13 7 2.71 1.74 2.01 "NORMAL, COMO HO"
"46" 46 "Nenhum dia" "Raramente" "Gosto pouco" "Médias" "Não" "Sim" 1 12 7 2.71 1.83 2.94 "FORMADA EM DIRE"
"47" 47 "1 ou 2 dias" "Muitas vezes" "Gosto bastante" "Altas" "Não" "Sim" 2 11 6 2.71 2.51 2.6 "LEGAL"
"48" 48 "1 ou 2 dias" "Raramente" "Gosto bastante" "Médias" "Não" "Sim" 2 14 9 2.72 5.02 3.88 "SER ALGU\XE9M G"
"49" 49 "Nenhum dia" "Várias vezes" "Gosto pouco" "Baixas" "Não" "Sim" 1 13 8 2.73 1.53 1.35 "N\XE3O SEI"
"50" 50 "Nenhum dia" "Raramente" "Gosto pouco" "Baixas" "Não" "Não" 1 12 6 2.74 2.03 3.28 "AINDA N\XE3O PE"
"51" 51 "Nenhum dia" "Raramente" "Adoro" "Médias" "Não" "Sim" 2 14 9 2.75 1.31 2.47 "BOM E BEM SUCED"
"53" 53 "1 ou 2 dias" "Raramente" "Não gosto" "Médias" "Não" "Sim" 2 14 7 2.77 2.26 1.01 "TER CASA E UMA "
"54" 54 "1 ou 2 dias" "Raramente" "Gosto pouco" "Médias" "Não" "Sim" 2 14 9 2.77 4.24 1.61 "COM UMA VIDA SA"
"55" 55 "Nenhum dia" "Raramente" "Gosto pouco" "Médias" "Não" "Não" 2 12 7 2.78 3.75 2.06 "EU IMAGINO EU P"
"56" 56 "1 ou 2 dias" "Várias vezes" "Gosto pouco" "Médias" "Não" "Sim" 1 13 8 2.78 4.23 1.57 "IMAGINO EU MORA"
"57" 57 "Nenhum dia" "Raramente" "Gosto bastante" "Médias" "Não" "Não" 2 13 7 2.79 4.69 1.32 "EU IMAGINO QUE "
"58" 58 "Nenhum dia" "Várias vezes" "Detesto" "Altas" "Sim" "Sim" 1 12 7 2.8 4.24 1.11 "EU ME VEJO COMO"
"59" 59 "Nenhum dia" "Várias vezes" "Gosto bastante" "Médias" "Não" "Não" 2 14 9 2.81 1.46 3.21 "EU IMAGINO SEGU"
"61" 61 "3 a 5 dias" "Várias vezes" "Não gosto" "Médias" "Não" "Sim" 1 14 8 2.82 2.8 2.54 "SENDO DELEGADA,"
"62" 62 "Mais de 5 dias" "Raramente" "Não gosto" "Baixas" "Não" "Sim" 2 14 8 2.82 4.96 2.38 "MUITO RICA"
"63" 63 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 13 9 2.83 3.22 2.77 "FAZENDO STREAM "
"65" 65 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Não" 1 13 8 2.84 1.77 1 "MAL SUCEDIDA PO"
"66" 66 "Nenhum dia" "Muitas vezes" "Adoro" "Altas" "Não" "Sim" 2 13 6 2.84 4.5 1.43 "TRABALHADOR, SK"
"67" 67 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 14 9 2.85 1.71 2.16 "BOA"
"68" 68 "Nenhum dia" "Várias vezes" "Detesto" "Baixas" "Sim" "Sim" 1 12 7 2.85 3.05 2.16 "EU IMAGINO MINH"
"69" 69 "1 ou 2 dias" "Várias vezes" "Gosto bastante" "Altas" "Não" "Não" 2 13 8 2.87 1.1 1.65 "DO JEITO QUE \X"
"70" 70 "Nenhum dia" "Muitas vezes" "Adoro" "Médias" "Sim" "Sim" 1 14 8 2.88 2.11 1.93 "ME IMAGINO FELI"
"71" 71 "Nenhum dia" "Várias vezes" "Gosto pouco" "Altas" "Sim" "Sim" 2 14 9 2.89 1.28 1.73 "EU IMAGINO MINH"
"72" 72 "Nenhum dia" "Várias vezes" "Gosto bastante" "Médias" "Não" "Não" 2 13 8 2.89 2.46 2.59 "EU TERMINDO OS "
"73" 73 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 1 11 6 2.89 3.69 1.47 "QUE EU CASE COM"
"74" 74 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 13 6 2.9 2.5 1.66 "TER MINHA CASA "
"75" 75 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Não" 2 12 7 2.9 2.51 1.48 "EU QUERO SER VE"
"76" 76 "Nenhum dia" "Várias vezes" "Não gosto" "Baixas" "Não" "Não" 2 14 7 2.9 3.01 3.62 "O MAIOR MESTRE "
"77" 77 "Nenhum dia" "Várias vezes" "Detesto" "Médias" "Sim" "Sim" NA 14 7 2.9 3.25 1.36 "V\XE1RIOS APARE"
"79" 79 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Sim" "Sim" 2 13 7 2.9 NA 1.21 "NO MEU FUTURO E"
"80" 80 "Nenhum dia" "Várias vezes" "Gosto pouco" "Altas" "Sim" "Sim" 1 11 6 2.9 NA 1.42 "COM DIVERS\XE3O"
"81" 81 "Nenhum dia" "Raramente" "Não gosto" "Médias" "Não" "Sim" 2 14 9 2.92 4.3 2.29 "BEM SUCESIDIDO "
"83" 83 "Nenhum dia" "Muitas vezes" "Adoro" "Baixas" "Não" "Não" 2 14 9 2.95 2.24 3.42 "EU ME IMAGINO C"
"84" 84 "Mais de 5 dias" "Várias vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 14 9 2.95 2.42 3.05 "SER UM PESQUISA"
"85" 85 "1 ou 2 dias" "Várias vezes" "Gosto bastante" "Altas" "Não" "Sim" 2 14 8 2.95 2.97 1.98 "FORMADO E APROV"
"86" 86 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Sim" 2 NA 9 2.96 2.52 1.01 "EU IMAGINO SER "
"87" 87 "Nenhum dia" "Várias vezes" "Gosto pouco" "Altas" "Não" "Não" 1 13 7 2.96 4.01 1.32 "EU IMAGIVA TRAB"
"88" 88 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Sim" 1 13 8 2.97 1.55 3.02 "EU ME IMAGINO F"
"89" 89 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Sim" 2 13 7 2.97 3.56 1.72 "UMA PESSOA DE S"
"91" 91 "Nenhum dia" "Sempre" "Gosto bastante" "Baixas" "Sim" "Sim" 1 12 7 2.98 1.73 2.05 "COM UMA FAMILIA"
"93" 93 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Sim" "Sim" 2 13 7 3 1.01 1.06 "EU ACHO QUE EU "
"94" 94 "Nenhum dia" "Muitas vezes" "Adoro" "Médias" "Sim" "Sim" 2 11 6 3 1.24 1.02 "EU MUITO VELHO "
"97" 97 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 13 8 3 2.24 2.12 "N\XE3O PENSO NO"
"98" 98 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Sim" 2 NA 9 3 2.28 2.72 "EU ME IMAGINO B"
"99" 99 "1 ou 2 dias" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 1 NA 9 3 2.66 2.59 "UMA VIDA COM OS"
"100" 100 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Sim" 2 14 9 3 3.29 2.62 "EU QUERO SER RI"
"102" 102 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Não" "Sim" 2 14 7 3.02 1.75 2.1 "EU IMAGINO EU S"
"103" 103 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Não" 1 14 8 3.02 1.96 2.21 "ME FORMANDO EM "
"104" 104 "Nenhum dia" "Sempre" "Detesto" "Altas" "Sim" "Não" 1 12 7 3.03 2.24 3.26 "EU IMAGINO QUE "
"105" 105 "Nenhum dia" "Raramente" "Gosto pouco" "Médias" "Não" "Não" 2 12 6 3.04 1.96 3.9 "DANDO EM DINHEI"
"106" 106 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Baixas" "Não" "Sim" 2 14 7 3.04 2.74 1.15 "UM RAPAZ FORMAD"
"107" 107 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Sim" 2 13 7 3.05 1.03 1.49 "UMA VIDA NORMAL"
"108" 108 "Nenhum dia" "Muitas vezes" "Gosto bastante" NA "Não" "Sim" 1 14 9 3.05 2.46 1.36 "ME IMAGINO M\XE"
"109" 109 "Nenhum dia" "Raramente" "Gosto bastante" "Médias" "Sim" "Não" 1 12 6 3.05 2.7 1.03 "EU IMAGINO EU S"
"111" 111 "3 a 5 dias" "Muitas vezes" "Não gosto" "Baixas" "Não" "Sim" 2 13 8 3.06 1.97 3.94 "UMA VIDA BOA UM"
"113" 113 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Sim" 2 14 9 3.06 2.72 1.53 "EU IMAGINO A MI"
"114" 114 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" NA 2 13 8 3.07 1.76 1.2 "EU ME IMAGINO S"
"115" 115 "Nenhum dia" "Raramente" "Adoro" "Baixas" "Sim" "Sim" 1 13 6 3.07 2.46 2.19 "N\XE3O FA\XE7O "
"116" 116 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Sim" 1 13 8 3.07 3.17 2.69 "TENDO MINHA CAS"
"117" 117 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Sim" 1 12 7 3.07 3.47 1.74 "UMA VIDA MELHOR"
"118" 118 "3 a 5 dias" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 2 13 7 3.08 1 1.72 "UM JOGADOR DE F"
"119" 119 "Nenhum dia" "Raramente" "Gosto bastante" "Médias" "Sim" "Não" 2 12 7 3.08 2.46 2.05 "TENDO UMA FAM\X"
"120" 120 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Sim" "Sim" 1 13 8 3.08 5.02 3.14 "TRABALHANDO OU "
"121" 121 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Não" "Sim" 2 13 7 3.09 1.01 1.56 "OTIMA VOU ATRAS"
"122" 122 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Sim" 1 12 7 3.09 1.08 1.44 "RICA, TRABALHAN"
"123" 123 "Nenhum dia" "Raramente" "Não gosto" "Baixas" "Sim" "Sim" 2 11 6 3.1 1.51 1.11 "N\XE3O"
"124" 124 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Sim" "Sim" 2 13 8 3.1 1.84 1.22 "BOA E COM SA\XF"
"125" 125 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Altas" "Não" "Sim" 1 11 6 3.1 2.04 1.36 "SIM ME IMAGINO "
"126" 126 "Nenhum dia" "Raramente" "Gosto pouco" "Médias" "Não" "Sim" 2 13 6 3.1 2.23 1.7 "BAN"
"127" 127 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Não" 2 14 9 3.1 3.06 2.07 "COM UM EMPREGO "
"128" 128 "1 ou 2 dias" "Muitas vezes" "Detesto" "Médias" "Não" "Sim" 1 13 7 3.1 5.02 1.87 "QUE EU TENHA TE"
"129" 129 "3 a 5 dias" "Várias vezes" "Gosto pouco" NA "Sim" "Sim" 2 12 7 3.11 2.11 0.95 "RICO E COM UM T"
"130" 130 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Sim" "Sim" NA 11 6 3.11 2.34 1.08 "SER UMA MEDICA,"
"132" 132 "Nenhum dia" "Sempre" "Adoro" "Médias" "Sim" "Sim" 2 14 9 3.12 0.94 1.34 "IMAGINO EU RICO"
"133" 133 "1 ou 2 dias" "Várias vezes" "Gosto pouco" "Médias" "Não" "Sim" 1 13 8 3.12 1.71 1.41 "ME IMAGINO FORM"
"134" 134 "Nenhum dia" "Várias vezes" "Adoro" "Baixas" "Sim" "Sim" 2 13 6 3.12 2.93 1.02 "COM MUITAS CONQ"
"135" 135 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Não" 1 13 7 3.13 1.31 2.03 "EU ME IMAGINO C"
"136" 136 "1 ou 2 dias" "Muitas vezes" "Não gosto" "Médias" "Não" "Sim" 2 12 6 3.13 3.22 2.57 "EU IMAGINO UMA "
"137" 137 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Não" 1 12 6 3.13 4.45 3.17 "EU ME IMAGINO M"
"138" 138 "Nenhum dia" "Várias vezes" "Gosto bastante" "Médias" "Sim" "Sim" 1 14 9 3.14 1.98 2.05 "EU IMAGINO COM "
"139" 139 "Nenhum dia" "Várias vezes" "Detesto" "Médias" "Não" "Não" 1 14 9 3.15 4.69 3.3 "IMAGINO EU NO C"
"141" 141 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Sim" 1 13 8 3.17 1.76 1.46 "TER MUITO DINHE"
"142" 142 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Não" 1 13 8 3.17 4 2.26 "N\XE3O MUITO BO"
"143" 143 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Não" "Sim" 1 13 9 3.18 1.75 1.96 "SENDO VETERIN\X"
"144" 144 "Nenhum dia" "Várias vezes" "Gosto bastante" "Altas" "Não" "Sim" 2 14 8 3.18 2.21 1.58 "N\XF3S ESTAMOS "
"145" 145 "Nenhum dia" "Raramente" "Gosto pouco" "Médias" "Não" "Sim" 1 12 7 3.19 1.82 2.55 "QUE EU J\XE1 ES"
"146" 146 "Nenhum dia" "Várias vezes" "Gosto pouco" "Altas" "Não" "Sim" 1 14 9 3.19 2.22 2.76 "AQUELE CLICH\XE"
"147" 147 "1 ou 2 dias" "Várias vezes" "Adoro" "Médias" "Não" "Não" 1 NA 9 3.19 4.29 3.85 "FORMADA EM DIRE"
"148" 148 "Nenhum dia" "Raramente" "Gosto pouco" "Médias" "Não" "Não" 2 14 9 3.2 3.02 2.67 "POR ENQUANTO N\"
"149" 149 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Sim" "Sim" 1 14 7 3.21 1.64 0.98 "MUITO BOA PRETE"
"150" 150 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Não" 2 12 7 3.21 1.74 1.6 "RICO, COM UMA F"
"151" 151 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Não" 1 13 8 3.21 2.03 2.01 "COM UAM VIDA FI"
"152" 152 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Não" 1 13 8 3.21 3.01 1.54 "CASADA COM DOIS"
"154" 154 "Nenhum dia" "Sempre" "Não gosto" "Médias" "Sim" "Não" 1 11 7 3.22 2.24 1.64 "UMA VIDA BOA E "
"155" 155 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Sim" "Sim" 2 11 6 3.22 2.57 1.68 "EU IMAGINO MINH"
"156" 156 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 14 9 3.22 3.79 1.74 "SER GRANDE RESP"
"157" 157 "Nenhum dia" "Várias vezes" "Detesto" "Médias" "Não" "Sim" 2 14 7 3.22 3.94 1.92 "CARROS FLUTUANT"
"158" 158 "Mais de 5 dias" "Várias vezes" "Gosto bastante" "Baixas" "Não" "Sim" 1 14 7 3.22 4.95 2.04 "AINDA N\XE3O IM"
"159" 159 "Nenhum dia" "Nunca" "Gosto pouco" "Médias" "Não" "Não" 2 14 9 3.23 1.78 4.18 "EU VOU SER ADUL"
"160" 160 "1 ou 2 dias" "Várias vezes" "Gosto bastante" "Médias" "Não" "Sim" 1 12 7 3.23 3.22 1.01 "LEGAL"
"161" 161 "Mais de 5 dias" "Várias vezes" "Gosto bastante" "Médias" "Não" "Sim" 2 13 7 3.24 1.45 1.04 "EU QUERO FORMA "
"162" 162 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Não" 1 14 9 3.24 2.54 2.37 "SINCERAMENTE, E"
"163" 163 "1 ou 2 dias" "Sempre" "Gosto bastante" "Baixas" "Sim" "Sim" 1 13 7 3.24 3 3.14 "EU S\XF3 IMAGIN"
"164" 164 "1 ou 2 dias" "Raramente" "Gosto bastante" "Médias" "Sim" "Sim" 1 12 6 3.24 3.25 1 "EU FORMADA SEND"
"165" 165 "1 ou 2 dias" "Várias vezes" "Gosto bastante" "Médias" "Sim" "Sim" 1 13 8 3.24 4.44 1.51 "EU AINDA N\XE3O"
"167" 167 "1 ou 2 dias" "Várias vezes" "Não gosto" "Médias" "Não" "Sim" 1 13 8 3.25 3.49 1.94 "ME IMAGINO FORM"
"169" 169 "1 ou 2 dias" "Raramente" "Gosto pouco" "Altas" "Sim" "Sim" 1 13 7 3.25 5.06 4.51 "EU QUERO SER PS"
"172" 172 "1 ou 2 dias" "Várias vezes" "Gosto pouco" "Médias" "Sim" "Sim" 1 12 6 3.26 3.15 2.84 "EU ME IMAGINO F"
"173" 173 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Sim" "Sim" 1 NA 9 3.27 1.89 1.37 "UM PA\XEDS MAIS"
"174" 174 "1 ou 2 dias" "Sempre" "Gosto bastante" "Médias" "Não" "Sim" 1 14 9 3.27 2.27 1.53 "BOM, IMAGINO CO"
"176" 176 "Nenhum dia" "Raramente" "Gosto pouco" "Médias" "Não" "Não" 2 14 9 3.29 1.18 2.24 "UMA VIDA BOA SE"
"177" 177 "Nenhum dia" "Raramente" "Gosto pouco" "Médias" "Não" "Sim" 1 13 8 3.29 1.51 1.8 "UMA BOA ESTABIL"
"178" 178 "Nenhum dia" "Raramente" "Gosto pouco" "Médias" "Sim" "Sim" 2 12 7 3.3 1.71 1.43 "BOA EU COM MINH"
"179" 179 "Nenhum dia" "Sempre" "Gosto bastante" "Baixas" "Sim" "Sim" 1 12 7 3.3 2.05 1.02 "EU QUERO SER M\"
"180" 180 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Não" "Sim" 1 12 7 3.3 3.46 1.41 "EU IMAGINO EU T"
"181" 181 "Nenhum dia" "Raramente" "Gosto pouco" "Médias" "Sim" "Sim" 2 13 7 3.31 1.38 1.08 "EU QUERO NO MEU"
"182" 182 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 1 11 6 3.31 1.97 1.04 "QUE NO FUTURO E"
"183" 183 "Nenhum dia" "Raramente" "Gosto pouco" "Médias" "Não" "Sim" 2 NA 6 3.31 3 0.93 "EU IMAGINO QUE "
"184" 184 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Altas" "Não" "Não" 1 13 7 3.31 3.77 3.13 "LEGAL, PRETENDO"
"185" 185 "1 ou 2 dias" "Várias vezes" "Gosto bastante" "Médias" "Sim" "Não" 2 12 7 3.31 4.75 0.95 "TER UM BOM EMPR"
"186" 186 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Não" 1 12 6 3.31 4.75 3.28 "EU ME IMAGINO F"
"187" 187 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Baixas" "Sim" "Sim" 2 12 7 3.32 0.95 1 "MINHA VIDA NO F"
"188" 188 "Nenhum dia" "Muitas vezes" "Detesto" "Altas" "Sim" "Sim" 2 13 7 3.32 3.51 2.23 "SENDO ATOR, SEN"
"189" 189 "Nenhum dia" "Várias vezes" "Gosto bastante" "Médias" "Não" "Sim" 1 13 8 3.32 4.21 1.67 "ME IMAGINO MORA"
"190" 190 "1 ou 2 dias" NA "Adoro" "Médias" "Não" "Sim" 2 14 6 3.33 1.23 0.97 "SER POLICIAL"
"191" 191 "Nenhum dia" "Várias vezes" "Não gosto" "Baixas" "Não" "Sim" 2 NA 9 3.33 2.51 2.11 "UM JOGADOR DE F"
"192" 192 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Sim" 1 12 6 3.33 4.89 2.04 "FAZER AGRONOMIA"
"193" 193 "1 ou 2 dias" "Várias vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 12 7 3.34 1.82 1 "UMA VIDA DECENT"
"194" 194 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Não" 2 11 6 3.34 3.5 1.32 "JOGANDO FUTEBOL"
"195" 195 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 14 9 3.34 3.96 2.61 "UM HOMEM DE NEG"
"197" 197 "1 ou 2 dias" "Raramente" "Gosto pouco" "Médias" "Não" "Não" 1 13 8 3.35 2.65 2.15 "BEM SUCEDIDO"
"199" 199 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Sim" "Sim" 1 13 6 3.36 1.61 2.13 "CASADA, COM TRE"
"200" 200 "Nenhum dia" "Várias vezes" "Gosto bastante" "Médias" "Não" "Sim" 1 13 7 3.37 1.75 1.62 "EU IMAGINO EU T"
"201" 201 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Não" "Sim" 1 12 7 3.37 1.95 1.39 "EU IMAGINO UMA "
"202" 202 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Sim" "Não" NA 14 7 3.37 1.96 1.62 "VETERIRIO FOD\X"
"203" 203 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 1 11 6 3.39 0.98 1.31 "EU ME IMAGINO R"
"204" 204 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Altas" "Não" "Não" 1 12 7 3.39 3.46 1.35 "QUE EU ME FORMO"
"206" 206 "Nenhum dia" "Várias vezes" "Detesto" "Médias" NA "Não" 2 14 9 3.4 3.01 2.15 "NORMAL"
"207" 207 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Altas" "Não" "Sim" 2 12 7 3.4 3.97 1.34 "BEM DE VIDA COM"
"208" 208 "Nenhum dia" "Muitas vezes" "Não gosto" "Altas" "Não" "Sim" 2 12 7 3.41 1.22 0.98 "MUITO BOM E SEN"
